WORKORDER_BASE_ID,WORKORDER_LOT_ID,Order Shortage
0100190,1,
0100191,1,
0100193,1,
0100194,1,
0100195,1,"S 149 GRP OP#70 Loss: 13.5%, "
0100197,1,
0100198,1,"MU PACKING OP#10 Loss: 17.6%, "
0100198,2,"MU PACKING OP#10 Loss: 19.7%, 12M-GRP OP#20 Loss: 24.4%, "
0100199,1,"CLN-L OP#40 Loss: 31.7%, "
0100199,2,
0100200,1,
0100201,1,
0100202,1,
0100209,1,
0100215,1,"S 149 #2 OP#30 Loss: 69.2%, "
0100217,1,
0100219,1,
0100220,1,"MU PACKING OP#10 Loss: 52.7%, "
0100221,1,
0100221,R,
0100222,1,
0100224,1,
0100225,1,
0100229,1,"A-D2 OP#50 Loss: 60.4%, S 149 #2 OP#80 Loss: 91.6%, "
0100230,1,
0100235,1,
0100242,1,
0100243,1,
0100244,1,
0100246,1,"A-D2 OP#70 Loss: 68.6%, "
0100250,1,
0100250,2,
0100254,1,
0100263,1,
0100264,1,
0100265,1,"A-D2 OP#40 Loss: 11.9%, "
0100266,1,"S 149 #2 OP#60 Loss: 13.4%, "
0100267,1,
0100268,1,
0100275,1,
0100278,1,"MU PACKING OP#10 Loss: 54.6%, 12M-GRP OP#210 Loss: 69.6%, "
0100280,1,"12M-1 OP#210 Loss: 12.7%, "
0100281,1,
0100282,1,
0100283,1,"A-D1 OP#50 Loss: 14.4%, "
0100284,1,
0100285,1,"12M-GRP OP#20 Loss: 10.7%, A-D1 OP#60 Loss: 51.0%, "
0100286,1,
0100287,1,"S 76 OP#50 Loss: 50.9%, "
0100288,1,
0100290,1,
0100292,1,
0100293,1,
0100294,1,
0100295,1,"S 149 GRP OP#130 Loss: 52.7%, "
0100296,1,
0100297,1,
0100298,1,
0100299,1,
0100301,1,
0100303,1,"MU PACKING OP#10 Loss: 53.7%, S 149 GRP OP#30 Loss: 72.9%, "
0100304,1,"A-D2 OP#40 Loss: 17.7%, S 149 #1 OP#100 Loss: 45.6%, "
0100305,1,
0100305,2,
0100305,3,
0100307,1,
0100315,1,
0100316,1,
0100317,1,"S 76 OP#73 Loss: 13.1%, S 76 OP#120 Loss: 20.5%, CLN-L OP#160 Loss: 42.1%, "
0100318,1,
0100319,1,
0100320,1,
0100321,1,
0100323,1,
0100324,1,
0100325,1,
0100326,1,
0100327,1,
0100329,1,
0100330,1,
0100331,1,
0100332,1,
0100335,1,
0100336,1,
0100337,1,
0100338,1,
0100339,1,
0100340,1,
0100345,1,
0100346,1,
0100347,1,"12M-GRP OP#20 Loss: 34.0%, "
0100348,1,"12M-GRP OP#20 Loss: 33.2%, B PICKLE OP#70 Loss: 17.2%, "
0100349,1,
0100350,1,
0100351,1,
0100352,1,
0100353,1,
0100354,1,
0100355,1,
0100356,1,"12M-GRP OP#80 Loss: 21.4%, "
0100357,1,
0100358,1,
0100359,1,"12M-2 OP#70 Loss: 11.6%, "
0100361,1,
0100363,1,
0100364,1,
0100365,1,
0100367,1,"A NEW GAS OP#160 Loss: 23.7%, "
0100368,1,"F-MILL GRP OP#130 Loss: 10.6%, F-CLN OP#140 Loss: 18.2%, F WRAP OP#160 Loss: 35.6%, "
0100369,1,"14M OP#20 Loss: 22.5%, CLN-L OP#40 Loss: 21.1%, "
0100370,1,"S 149 GRP OP#30 Loss: 10.8%, "
0100372,1,
0100373,1,
0100374,1,"12M-GRP OP#20 Loss: 11.4%, B PICKLE OP#80 Loss: 33.8%, F-MILL GRP OP#130 Loss: 25.4%, F-CLN OP#140 Loss: 19.0%, "
0100376,1,"CLN-ADS OP#40 Loss: 23.0%, "
0100377,1,"MU PACKING OP#10 Loss: 25.9%, "
0100377,2,
0100378,1,
0100378,2,
0100382,1,
0100383,1,
0100384,1,
0100385,1,
0100386,1,
0100386,2,
0100387,1,"CLN-L OP#15 Loss: 15.8%, F-BLK OP#20 Loss: 29.4%, F-CLN OP#70 Loss: 68.9%, "
0100388,1,
0100389,1,
0100391,1,
0100392,1,
0100393,1,
0100394,1,
0100395,1,
0100396,1,
0100397,1,"14M OP#20 Loss: 11.1%, CLN-L OP#40 Loss: 11.0%, "
0100398,1,
0100399,1,
0100400,1,
0100401,1,
0100402,1,
0100403,1,
0100404,1,
0100405,1,
0100406,1,
0100407,1,"12M-GRP OP#20 Loss: 21.0%, 12M-2 OP#46 Loss: 66.8%, "
0100408,1,
0100411,1,"S 149 #1 OP#60 Loss: 47.7%, "
0100412,1,
0100412,2,
0100414,1,"A-D2 OP#40 Loss: 44.9%, "
0100415,1,
0100416,1,
0100416,2,"A-D2 OP#40 Loss: 48.4%, "
0100417,1,
0100418,1,"S 76 OP#110 Loss: 15.5%, "
0100424,1,"B PICKLE OP#165 Loss: 89.4%, "
0100425,1,
0100425,2,
0100425,R,"S 149 GRP OP#25 Loss: 12.2%, 12M-GRP OP#50 Loss: 11.5%, "
0100426,1,
0100427,1,"14M OP#20 Loss: 10.9%, "
0100430,1,
0100430,R,
0100431,1,
0100432,1,
0100433,1,"S 76 OP#30 Loss: 49.5%, "
0100434,1,
0100435,1,"MU PACKING OP#10 Loss: 53.8%, S 149 #2 OP#120 Loss: 20.9%, "
0100436,1,
0100438,1,
0100440,1,
0100441,1,
0100442,1,
0100443,1,
0100444,1,
0100445,1,
0100446,1,
0100447,1,"S 149 #2 OP#55 Loss: 39.8%, "
0100447,2,
0100448,1,
0100449,1,
0100450,1,
0100451,1,
0100452,1,
0100453,1,"S 149 #2 OP#60 Loss: 65.9%, "
0100454,1,
0100459,1,
0100460,1,
0100465,1,"B PICKLE OP#40 Loss: 64.3%, "
0100466,1,
0100467,1,
0100468,1,
0100469,1,"12M-GRP OP#70 Loss: 20.3%, "
0100470,1,
0100471,1,
0100471,2,"S 149 #1 OP#60 Loss: 93.1%, "
0100472,1,
0100473,1,
0100474,1,
0100475,1,
0100476,1,
0100477,1,
0100478,1,
0100479,1,
0100480,1,
0100481,1,
0100483,1,
0100484,1,
0100486,1,
0100487,1,
0100488,1,
0100488,2,
0100488,R,
0100489,1,
0100490,1,
0100491,1,
0100492,1,
0100493,1,
0100494,1,
0100495,1,"S 149 #2 OP#30 Loss: 10.6%, "
0100496,1,
0100497,1,"A-D1 OP#120 Loss: 17.9%, "
0100498,1,
0100499,1,"MU PACKING OP#10 Loss: 37.7%, "
0100501,1,
0100501,2,
0100502,1,
0100503,1,
0100506,1,
0100507,1,
0100508,1,"F-MILL GRP OP#60 Loss: 12.2%, "
0100511,1,
0100512,1,
0100513,1,"S 149 #2 OP#30 Loss: 53.5%, "
0100514,1,"A-D GRP OP#70 Loss: 19.3%, "
0100514,2,"S 189 OP#110 Loss: 22.2%, "
0100515,1,"12M-2 OP#20 Loss: 12.7%, "
0100515,2,
0100516,1,
0100518,1,
0100519,1,
